individual	batch	well	sample_id
19239	2	B03	NA19239.2.B03
19239	2	B04	NA19239.2.B04
19239	2	B05	NA19239.2.B05
19239	2	B06	NA19239.2.B06
19239	2	B07	NA19239.2.B07
19239	2	B08	NA19239.2.B08
19239	2	B09	NA19239.2.B09
19239	2	B10	NA19239.2.B10
19239	2	B11	NA19239.2.B11
19239	2	B12	NA19239.2.B12
19239	2	C01	NA19239.2.C01
19239	2	C02	NA19239.2.C02
19239	2	C03	NA19239.2.C03
19239	2	C04	NA19239.2.C04
19239	2	C05	NA19239.2.C05
19239	2	C06	NA19239.2.C06
19239	2	C07	NA19239.2.C07
19239	2	C08	NA19239.2.C08
19239	2	C09	NA19239.2.C09
19239	2	C10	NA19239.2.C10
19239	2	C11	NA19239.2.C11
19239	2	C12	NA19239.2.C12
19239	2	D01	NA19239.2.D01
19239	2	D02	NA19239.2.D02
19239	2	D03	NA19239.2.D03
19239	2	D04	NA19239.2.D04
19239	2	D05	NA19239.2.D05
19239	2	D06	NA19239.2.D06
19239	2	D07	NA19239.2.D07
19239	2	D08	NA19239.2.D08
19239	2	D09	NA19239.2.D09
19239	2	D10	NA19239.2.D10
19239	2	D11	NA19239.2.D11
19239	2	D12	NA19239.2.D12
19239	2	E01	NA19239.2.E01
19239	2	E02	NA19239.2.E02
19239	2	E03	NA19239.2.E03
19239	2	E04	NA19239.2.E04
19239	2	E05	NA19239.2.E05
19239	2	E06	NA19239.2.E06
19239	2	E07	NA19239.2.E07
19239	2	E08	NA19239.2.E08
19239	2	E09	NA19239.2.E09
19239	2	E10	NA19239.2.E10
19239	2	E11	NA19239.2.E11
19239	2	E12	NA19239.2.E12
19239	2	F01	NA19239.2.F01
19239	2	F02	NA19239.2.F02
19239	2	F03	NA19239.2.F03
19239	2	F04	NA19239.2.F04
19239	2	F05	NA19239.2.F05
19239	2	F06	NA19239.2.F06
19239	2	F07	NA19239.2.F07
19239	2	F08	NA19239.2.F08
19239	2	F09	NA19239.2.F09
19239	2	F10	NA19239.2.F10
19239	2	F11	NA19239.2.F11
19239	2	F12	NA19239.2.F12
19239	2	G01	NA19239.2.G01
19239	2	G02	NA19239.2.G02
19239	2	G03	NA19239.2.G03
19239	2	G04	NA19239.2.G04
19239	2	G05	NA19239.2.G05
19239	2	G06	NA19239.2.G06
19239	2	G07	NA19239.2.G07
19239	2	G08	NA19239.2.G08
19239	2	G09	NA19239.2.G09
19239	2	G10	NA19239.2.G10
19239	2	G11	NA19239.2.G11
19239	2	G12	NA19239.2.G12
19239	2	H01	NA19239.2.H01
19239	2	H02	NA19239.2.H02
19239	2	H03	NA19239.2.H03
19239	2	H04	NA19239.2.H04
19239	2	H05	NA19239.2.H05
19239	2	H06	NA19239.2.H06
19239	2	H07	NA19239.2.H07
19239	2	H08	NA19239.2.H08
19239	2	H09	NA19239.2.H09
19239	2	H10	NA19239.2.H10
