	individual	replicate	well	batch	sample_id
165	NA19101	r1	A09	NA19101.r1	NA19101.r1.A09
166	NA19101	r1	A10	NA19101.r1	NA19101.r1.A10
167	NA19101	r1	B02	NA19101.r1	NA19101.r1.B02
168	NA19101	r1	B03	NA19101.r1	NA19101.r1.B03
169	NA19101	r1	B04	NA19101.r1	NA19101.r1.B04
170	NA19101	r1	B05	NA19101.r1	NA19101.r1.B05
171	NA19101	r1	B07	NA19101.r1	NA19101.r1.B07
172	NA19101	r1	B08	NA19101.r1	NA19101.r1.B08
173	NA19101	r1	B09	NA19101.r1	NA19101.r1.B09
174	NA19101	r1	B10	NA19101.r1	NA19101.r1.B10
175	NA19101	r1	B11	NA19101.r1	NA19101.r1.B11
176	NA19101	r1	B12	NA19101.r1	NA19101.r1.B12
177	NA19101	r1	C01	NA19101.r1	NA19101.r1.C01
178	NA19101	r1	C02	NA19101.r1	NA19101.r1.C02
179	NA19101	r1	C03	NA19101.r1	NA19101.r1.C03
180	NA19101	r1	C04	NA19101.r1	NA19101.r1.C04
181	NA19101	r1	C05	NA19101.r1	NA19101.r1.C05
182	NA19101	r1	C06	NA19101.r1	NA19101.r1.C06
183	NA19101	r1	C07	NA19101.r1	NA19101.r1.C07
184	NA19101	r1	C08	NA19101.r1	NA19101.r1.C08
185	NA19101	r1	C09	NA19101.r1	NA19101.r1.C09
186	NA19101	r1	C10	NA19101.r1	NA19101.r1.C10
187	NA19101	r1	C11	NA19101.r1	NA19101.r1.C11
188	NA19101	r1	C12	NA19101.r1	NA19101.r1.C12
189	NA19101	r1	D01	NA19101.r1	NA19101.r1.D01
190	NA19101	r1	D02	NA19101.r1	NA19101.r1.D02
191	NA19101	r1	D03	NA19101.r1	NA19101.r1.D03
192	NA19101	r1	D05	NA19101.r1	NA19101.r1.D05
193	NA19101	r1	D06	NA19101.r1	NA19101.r1.D06
194	NA19101	r1	D07	NA19101.r1	NA19101.r1.D07
195	NA19101	r1	D08	NA19101.r1	NA19101.r1.D08
196	NA19101	r1	D09	NA19101.r1	NA19101.r1.D09
197	NA19101	r1	D10	NA19101.r1	NA19101.r1.D10
198	NA19101	r1	D11	NA19101.r1	NA19101.r1.D11
199	NA19101	r1	D12	NA19101.r1	NA19101.r1.D12
200	NA19101	r1	E01	NA19101.r1	NA19101.r1.E01
201	NA19101	r1	E02	NA19101.r1	NA19101.r1.E02
202	NA19101	r1	E03	NA19101.r1	NA19101.r1.E03
203	NA19101	r1	E04	NA19101.r1	NA19101.r1.E04
204	NA19101	r1	E07	NA19101.r1	NA19101.r1.E07
205	NA19101	r1	E08	NA19101.r1	NA19101.r1.E08
206	NA19101	r1	E10	NA19101.r1	NA19101.r1.E10
207	NA19101	r1	E12	NA19101.r1	NA19101.r1.E12
208	NA19101	r1	F01	NA19101.r1	NA19101.r1.F01
209	NA19101	r1	F02	NA19101.r1	NA19101.r1.F02
210	NA19101	r1	F03	NA19101.r1	NA19101.r1.F03
211	NA19101	r1	F04	NA19101.r1	NA19101.r1.F04
212	NA19101	r1	F07	NA19101.r1	NA19101.r1.F07
213	NA19101	r1	F08	NA19101.r1	NA19101.r1.F08
214	NA19101	r1	F09	NA19101.r1	NA19101.r1.F09
215	NA19101	r1	F11	NA19101.r1	NA19101.r1.F11
216	NA19101	r1	F12	NA19101.r1	NA19101.r1.F12
217	NA19101	r1	G02	NA19101.r1	NA19101.r1.G02
218	NA19101	r1	G03	NA19101.r1	NA19101.r1.G03
219	NA19101	r1	G04	NA19101.r1	NA19101.r1.G04
220	NA19101	r1	G05	NA19101.r1	NA19101.r1.G05
221	NA19101	r1	G07	NA19101.r1	NA19101.r1.G07
222	NA19101	r1	G08	NA19101.r1	NA19101.r1.G08
223	NA19101	r1	G09	NA19101.r1	NA19101.r1.G09
224	NA19101	r1	G10	NA19101.r1	NA19101.r1.G10
225	NA19101	r1	G11	NA19101.r1	NA19101.r1.G11
226	NA19101	r1	G12	NA19101.r1	NA19101.r1.G12
227	NA19101	r1	H01	NA19101.r1	NA19101.r1.H01
228	NA19101	r1	H02	NA19101.r1	NA19101.r1.H02
229	NA19101	r1	H03	NA19101.r1	NA19101.r1.H03
230	NA19101	r1	H05	NA19101.r1	NA19101.r1.H05
231	NA19101	r1	H06	NA19101.r1	NA19101.r1.H06
232	NA19101	r1	H08	NA19101.r1	NA19101.r1.H08
233	NA19101	r1	H10	NA19101.r1	NA19101.r1.H10
234	NA19101	r1	H12	NA19101.r1	NA19101.r1.H12
235	NA19101	r2	A01	NA19101.r2	NA19101.r2.A01
236	NA19101	r2	A02	NA19101.r2	NA19101.r2.A02
237	NA19101	r2	A06	NA19101.r2	NA19101.r2.A06
238	NA19101	r2	A08	NA19101.r2	NA19101.r2.A08
239	NA19101	r2	A09	NA19101.r2	NA19101.r2.A09
240	NA19101	r2	A10	NA19101.r2	NA19101.r2.A10
241	NA19101	r2	B02	NA19101.r2	NA19101.r2.B02
242	NA19101	r2	B03	NA19101.r2	NA19101.r2.B03
243	NA19101	r2	B04	NA19101.r2	NA19101.r2.B04
244	NA19101	r2	B06	NA19101.r2	NA19101.r2.B06
245	NA19101	r2	B08	NA19101.r2	NA19101.r2.B08
246	NA19101	r2	B09	NA19101.r2	NA19101.r2.B09
247	NA19101	r2	B10	NA19101.r2	NA19101.r2.B10
248	NA19101	r2	B12	NA19101.r2	NA19101.r2.B12
249	NA19101	r2	C01	NA19101.r2	NA19101.r2.C01
250	NA19101	r2	C03	NA19101.r2	NA19101.r2.C03
251	NA19101	r2	C04	NA19101.r2	NA19101.r2.C04
252	NA19101	r2	C05	NA19101.r2	NA19101.r2.C05
253	NA19101	r2	C06	NA19101.r2	NA19101.r2.C06
254	NA19101	r2	C07	NA19101.r2	NA19101.r2.C07
255	NA19101	r2	C08	NA19101.r2	NA19101.r2.C08
256	NA19101	r2	C09	NA19101.r2	NA19101.r2.C09
257	NA19101	r2	C11	NA19101.r2	NA19101.r2.C11
258	NA19101	r2	D02	NA19101.r2	NA19101.r2.D02
259	NA19101	r2	D03	NA19101.r2	NA19101.r2.D03
260	NA19101	r2	D04	NA19101.r2	NA19101.r2.D04
261	NA19101	r2	D05	NA19101.r2	NA19101.r2.D05
262	NA19101	r2	D06	NA19101.r2	NA19101.r2.D06
263	NA19101	r2	D07	NA19101.r2	NA19101.r2.D07
264	NA19101	r2	D08	NA19101.r2	NA19101.r2.D08
265	NA19101	r2	D09	NA19101.r2	NA19101.r2.D09
266	NA19101	r2	D10	NA19101.r2	NA19101.r2.D10
267	NA19101	r2	D11	NA19101.r2	NA19101.r2.D11
268	NA19101	r2	E01	NA19101.r2	NA19101.r2.E01
269	NA19101	r2	E02	NA19101.r2	NA19101.r2.E02
270	NA19101	r2	E03	NA19101.r2	NA19101.r2.E03
271	NA19101	r2	E04	NA19101.r2	NA19101.r2.E04
