individual	batch	well	cell_number	concentration	tra1-60
19098	3	G03	1	0.670997462	1
19098	3	G04	1	0.91206714	1
19098	3	G05	1	1.860392343	1
19098	3	G06	1	1.448746839	1
19098	3	G07	1	0.580379391	1
19098	3	G08	1	0.944495623	1
19098	3	G09	1	0.783257205	1
19098	3	G10	1	1.992916694	1
19098	3	G11	1	0.47700105	1
19098	3	G12	1	0.574902642	1
19098	3	H01	1	0.650417483	1
19098	3	H02	1	1.875090513	1
19098	3	H03	1	2.335089241	1
19098	3	H04	1	2.578059754	1
19098	3	H05	1	1.943283741	1
19098	3	H06	1	1.67423746	1
19098	3	H07	1	0.402046511	1
19098	3	H08	1	0.441289656	1
19098	3	H09	1	0.589552322	1
19098	3	H10	1	1.672542857	1
19098	3	H11	1	3.075234533	1
19098	3	H12	1	1.992639906	1
19239	1	A01	1	1.876909598	1
19239	1	A02	1	1.021029748	1
19239	1	A03	1	1.61908609	1
19239	1	A04	1	1.109653639	0
19239	1	A05	1	1.707399536	1
19239	1	A06	1	1.603074667	1
19239	1	A07	1	1.102577281	1
19239	1	A08	1	1.311266373	1
19239	1	A09	1	1.996511736	1
19239	1	A10	1	1.423930164	1
19239	1	A11	1	1.389149893	1
19239	1	A12	1	0.918931837	1
19239	1	B01	2	1.048522074	1
19239	1	B02	1	1.773087689	1
19239	1	B03	1	1.612119199	1
19239	1	B04	2	1.434866197	1
19239	1	B05	1	1.23183321	1
19239	1	B06	1	2.140083529	1
19239	1	B07	1	1.387203835	1
19239	1	B08	1	2.085351263	1
19239	1	B09	1	1.43296637	1
19239	1	B10	1	1.559330047	1
19239	1	B11	1	1.800428061	1
19239	1	B12	1	2.03925438	1
19239	1	C01	1	1.664551465	1
19239	1	C02	1	2.302655852	1
19239	1	C03	1	2.105390812	1
19239	1	C04	2	2.022146866	1
19239	1	C05	1	1.782548548	1
