NA19098	NA19101	NA19239
TAGLN	NUDT7	DIP2A
TUBA1B	GPX1	TLN1
AP5M1	NGLY1	AASDHPPT
COQ7	NUP98	CALD1
PICALM	ZFYVE27	ZFYVE21
SLC12A4	XKR6	ZNF280D
PMS1	TBC1D8B	ZFP91
PARN	TTL	ALPL
CAAP1	NUBPL	SNUPN
HPN	STAT2	EIF2AK3
EIF2S3L	FNBP1	FNBP4
B3GAT3	TET1	HNRNPAB
LYSMD1	EMC3	DBNDD1
POLDIP3	ZNF844	NIPAL1
PYGB	ORAI2	HIST1H2BN
TNPO3	NUDCD2	DDX52
ARAF	HIST1H1D	LIN7C
XRCC2	TBC1D32	NHS
ZNF37A	C1GALT1	NRAS
TWF2	RAD50	BNIP3L
DCAF10	SHCBP1	TBCC
CDS2	AP1M1	EPDR1
SIRT3	TMEM57	TP53RK
C5orf22	RPL3	USP51
PTPRD	EDC4	FREM2
MRPL13	RNGTT	SYNJ2BP
FAM120AOS	PLEC	PLEKHB1
NDUFAF4	SNRK	RGS19
MRPS16	TMEM41B	PIGF
GNE	CSTF2T	ADCK1
AKR7A2	RHBDD3	RPS19BP1
BET1	ELAVL2	PYCARD
EMC8	AGGF1	UBE2N
WDFY2	ZMIZ2	TSC2
FAM177A1	ADIPOR1	SGK1
MKS1	ZBTB8A	SH3PXD2A
TVP23C	CKS2	GLCE
ZNF44	TAF1C	OGG1
FAM156A	XRCC3	DNAJA3
TBC1D1	SNX10	RNF111
PCNX	MYL6B	STAM
ITPR2	FBXO36	E2F4
PNO1	EIF4G2	EMC3
GSTO2	MRPL20	WDR90
SAFB	SLA	MIER1
ACO1	RAVER2	ASCC3
PKN1	DAP	TATDN1
ZBTB40	SNX14	MTRF1L
FASTKD5	CST3	BCDIN3D
CEP41	ENTPD4	YBX3
TTBK2	BUB3	ELAC1
CD151	SLITRK4	SSU72
RNF144B	TSPAN6	RPL29
NOMO1	TLE4	UPRT
RAD17	C10orf35	C2orf44
FAM120C	FBXO45	SUMF1
MSRB1	HYLS1	EPPK1
CCDC109B	TADA3	TAX1BP3
NDUFA6	TLN1	CHCHD7
SNRPA1	MUC12	TRIP11
ZNF420	SLC52A2	PDE6D
TACC3	MARK3	FASN
SERPINB1	SLC38A2	VSIG10L
KITLG	DARS2	ZNF714
DPPA3	VANGL1	ZNF260
ENDOV	PACSIN2	DZIP3
PNPLA2	C1orf52	FTH1
ARHGEF16	CEP89	TMED5
C1orf50	AHDC1	PIGL
UBL7	PRRC2A	PNMA3
SFXN2	RPL7A	APOBEC3C
XRCC1	FAM169A	CERK
DHX38	AP1B1	MGAT1
ANKFY1	TRAPPC11	ZDHHC12
ROBO2	PRKRIP1	ESRP1
NRIP1	PER3	KAT6B
NREP	FGFR2	HECTD4
L3MBTL2	TAF5L	RTN4RL2
CCNC	SHMT1	LDHB
TRPC1	CDK2AP2	TMED8
TTL	FLOT2	HENMT1
PIGA	CDKN2AIP	OSBPL8
HDAC4	MTG1	CDKN1C
TAF8	VAT1	AIM1L
PSMA3	GABARAP	MDH2
ZFR2	TP53INP1	C1orf63
SHFM1	HDHD3	TDP1
KDM3A	ZNF485	PSMA7
RCOR2	C15orf39	VTI1B
SOCS6	NKIRAS2	EVL
LRR1	CORO1C	ARMCX5
PACSIN2	SH3PXD2A	CDC123
PBX1	MTMR4	ACAD10
CCT5	HPS6	EPHB2
HIST2H4B	COX7C	OTUB2
SESN2	TNFRSF8	HSPA1A
KANSL2	CFL1	AUH
KIT	XPA	ZNF322
FBL	GMDS	VGLL4
TUBGCP2	YWHAB	ATP1B3
COX18	ACOT9	VANGL2
RCE1	HSD17B1	SEC11A
OXTR	ING4	ZNF90
RTN3	CCZ1B	MTMR12
ANAPC4	GLDC	RPL12
TRMT61B	RGMA	SEC61A1
PAPOLG	PCNXL2	PITPNC1
POTEE	RNF168	SLC25A25
RAB1A	ARHGAP19	SLC50A1
ABCB8	NDFIP1	HADH
ZNF260	PRIM2	MECP2
EPHB4	P2RX5	NXF1
FARSA	CHST4	FN1
PRPF4B	FAM63A	PYCR1
DHX9	ELAC2	TAF7
SARDH	RORB	ASPM
CAMK4	FAM3A	DAZAP2
TMEM230	NRDE2	REL
LINC00632	SALL1	HIPK1
NUCKS1	LHX4	ASRGL1
TMEM55B	TMEM70	MRPS14
HSBP1	RPS20	RARS2
MRPL46	RFC4	C17orf89
PHB2	ABHD16A	ASPSCR1
SORD	MAP7D1	EIF3H
TMBIM6	CSTF2	KIAA2013
SEMA4D	VPS26A	NUDT12
NBPF14	BRAP	CHST7
XRCC5	TNNT1	AARSD1
PEX11B	SLX4	PABPC1L
HIST3H2A	EIF4E	KITLG
SIN3A	PCOLCE	SHCBP1
CADM1	NOC3L	SLC25A37
CDK11B	SULT1A4	TCTN2
IKZF5	RGS16	CDK2
SLC9A1	TRMT2B	C14orf80
PARD6B	CD47	ANO6
DGKE	RBPJ	DCLRE1C
ST6GAL2	PPP3CA	TEAD3
OLFM1	PRMT2	LCOR
NRBP1	CHST11	RALGAPA2
DDI2	ZNF236	RFC3
SORBS2	PNPLA6	PERP
ROMO1	NME4	TSPAN5
CHTOP	CHKA	TIAM1
NAF1	RAPGEF6	ATAD2
YPEL3	PSKH1	KLHL2
TCF20	FAM86C1	TULP4
NUAK1	GORASP1	F8A3
PTPN18	METTL7A	KCNQ2
ZNF445	OFD1	FAM229B
FASTKD2	CAMK1D	RPS6KC1
SEC14L1	RNPEP	FRA10AC1
C11orf80	TMEM159	IFT172
SMARCA5	USP15	MAP1A
GRWD1	MCMDC2	GIGYF1
ANO5	DHRSX	CNOT1
HES7	DGAT1	ZNF430
CDKL3	DLGAP5	ITIH5
IGF2BP3	MINOS1	SUPT7L
HIST2H2BF	BCL2L12	ZKSCAN4
DDX17	BDNF	FAM214A
SNRPA	BAI1	FCF1
SECISBP2L	GEMIN6	DOPEY2
MAML3	FAM43A	ACVR1B
RB1	SMARCD1	HDLBP
FOXK2	FAM117A	NIF3L1
PIK3C2B	ZNF398	OSBPL1A
CDC23	NRG4	RPS4Y2
RNF10	SPDL1	ATP1A3
FAM160A1	TEAD1	KCNS3
STRIP2	ATHL1	ANKZF1
STK17B	POLR3D	JAM2
NUDC	HTRA2	FGD1
NDUFA12	CAB39	CENPB
DENND5B	PDZD8	DCTN3
KDM5A	SLC27A6	IQGAP1
OPA3	ZBED6	CTAGE5
HDGF	MAGI1	CD59
GRIPAP1	BANP	LAMA1
MARK2	IGDCC4	EPHA4
UPF1	CARD11	TYW5
VOPP1	LIN28B	ARHGEF10
C15orf27	MAP1LC3B2	SPATS2L
VKORC1	TTN	DDX27
FAM111A	DCPS	AKAP8L
CLCN7	BTBD6	TRMT61A
FAM193A	SRFBP1	DYNC1I2
C5orf45	RNF182	PRKAR2B
CBFA2T2	ANO5	TIMM13
TERF2	IFT80	BCAT2
ATRX	GSTT1	NAT10
ICMT	CCDC28B	AKAP1
LMNB1	ZNF259	MT1G
ARL6IP6	SEMA5B	NCAPH
PSMA4	GK	C11orf68
UFC1	AIM1	MED10
MYNN	ZFHX2	ARHGEF7
ABLIM1	ADARB1	TRMT13
RIMS4	ZNF566	PARP11
GABBR1	ZNF561	PINLYP
C21orf91	ANKEF1	SNW1
UCMA	PTEN	CRIPAK
PYCARD	NBEAL2	SLK
RBM38	CDAN1	EIF3E
RNF146	FAM98A	CALML4
SLC25A51	ESD	SND1
CES2	FOXM1	PELI2
ITPR3	MINPP1	TBC1D23
CLASRP	TAF9B	SEPT10
SIAH2	QDPR	PEX13
MAPK3	DCAF11	FBXO31
UBC	SCAF8	RNF19A
PPIB	TRAF6	RGP1
BBS9	KIFAP3	CHAC2
YAP1	FER	GTF2H2C
EFNA3	SRCAP	CNTN1
CHP1	STXBP3	LDLRAP1
EP400	TAF1B	NDUFB7
PNRC2	FAF1	CENPP
GSK3A	FAM76A	PSME4
TRNAU1AP	FOXJ2	NCOR2
CACNA1A	C1orf106	CACNB1
KIFC1	FKBP9	RASL11B
DESI2	RGL3	KIAA0586
NLGN4X	EXOSC2	SLC44A2
ZBTB18	DMKN	NCLN
SBSPON	UBE2Q2	SRP54
CLASP2	CDS1	LPIN1
WDR45	MRAS	PCGF6
YBX3	PLGRKT	SOD1
TEX264	XRCC5	PDGFA
NUP107	ATP5J2	MN1
FAM3A	SCRIB	TUBB2A
AHSA1	LDB2	HSD17B7
RSL24D1	EML4	IMMP2L
PTN	MCM4	PTCD1
MTL5	SERGEF	FAM221A
SPPL3	C17orf51	LECT1
GLS	PTCH1	VRK2
UPF3B	GSTM4	C6orf211
SET	TEX2	DOLK
ROBO1	PRRG1	FXYD6
METTL17	VGF	AK2
ATP6V0E2	CERS5	C15orf57
SNRNP27	KIAA0040	ZNF730
HCN4	PRKCI	CDAN1
SLC6A9	MIEF1	SPNS1
PLA2G3	SFT2D1	APOA1BP
TP53BP1	MAP1S	GTF2A2
PPP1R35	ZNF800	TRRAP
BBS12	SEC24A	DNM2
ECE2	ING2	UBL5
EPS15L1	HIST2H2BF	CXADR
GPANK1	MSL3	STRIP1
GRIA3	HADH	TACO1
RHNO1	SEH1L	PTCH2
RAP2B	GTF3C6	CCDC102A
LPIN1	B4GALT2	MRPL41
HTRA2	UTP20	PPM1G
TTC27	SP100	TRAK1
OBFC1	MSANTD3	SFRP2
BTN2A2	PIGX	ABCA5
NFX1	ALDH18A1	AKNA
UST	CEP72	COPB1
MED18	TICRR	PPP1R1A
UAP1	AMER1	RCOR2
ARHGEF35	CIR1	ZHX1
ZCCHC24	ANKRD54	PGLS
MEPCE	PIAS1	JUN
PQLC3	NISCH	CUZD1
AKAP8	EMC1	ZNF561
PDZD2	DENND2C	SEC61G
AK1	PET117	PNPT1
STC2	SERINC3	DNAJC24
FZD8	SLC44A1	KIAA1217
GLRX3	COPS5	N4BP2L2
MT-ND3	PHRF1	USP4
NEBL	MAP7	SMC6
IMMT	VEPH1	EIF1B
GGCT	PCNXL3	C4orf3
CRIPT	CISD3	NFU1
JADE1	ZC3H7B	STXBP2
ZNF180	PPA2	TM9SF2
AIM1L	RFXAP	EPC1
RCOR3	ACP2	EXOC2
ZNF362	LRIF1	PHF19
IDH3G	SLC16A9	ORC3
DHX34	PEPD	TTC8
GTDC1	C19orf48	WDR89
DNAJC18	DPM3	MMD
MAGED4B	WDR81	MRPS18C
FAF2	NUP210	LMNB1
NHLRC3	NUBP1	SRP68
CHCHD4	H2AFX	PARD6G
IFRD1	ATP6AP1	HUNK
TIMP1	DDX25	HMGCL
SEPT7	NELFA	VRK3
C11orf83	DCUN1D2	HIST1H3I
ZNF146	MARK4	MPST
KLC1	NOP14	IFT20
FKBP4	ARHGEF39	PNPLA6
RPP30	MYEF2	FAM134C
E4F1	HMOX1	THUMPD3
DCTN6	MTRNR2L1	ESCO1
GRHL2	ACTN1	RALGPS2
HNRNPA1L2	GPC1	RANGAP1
TSTD2	SOCS1	AK1
CWC27	RCL1	PPP2R2B
POGLUT1	DAGLB	ARFIP2
THOC5	MEGF8	TTN
DENND2C	ZDHHC5	POU5F1B
FMO1	ATP5I	STAT5B
MYH10	SMC5	HABP4
THBS3	RTCB	SEMA3A
ZNF90	CCNY	CYP2S1
SNRPC	IER3	ZNF672
CRAMP1L	CAMK2N1	ZNF816
TBKBP1	GATC	KIF13A
KIAA1429	CHDH	CBFA2T2
RNF181	TSHZ3	RPL22L1
EXOC1	ACOT7	ZNF135
REPIN1	RBM48	NAGLU
KPNA3	MVK	GTPBP8
SSR2	RPS2	DGUOK
CXorf56	DAB2IP	AEN
C19orf43	DSCC1	HINFP
TMEM9B	SLC16A10	SLC38A1
ZNF670	CELSR1	ZNF749
CRHR1	JMJD6	GPN2
FIGNL1	BCL7A	PIEZO1
KDELR2	RIMKLB	UBIAD1
ZSCAN9	RALGDS	ADAM9
CLTC	HCCS	GABPA
YPEL5	NDUFA11	IDH2
CNOT8	ZNF275	THG1L
TMEM8A	MAP2K5	NBPF10
PLEKHH1	ANKRD10	PARS2
MTOR	XYLT1	EZH2
ANKRD17	SMARCA2	MPI
VARS	DNAJC30	NBPF1
KAT5	EBP	TCF3
MALT1	ACTA1	AHSP
DNAJC2	FAM103A1	EFCAB10
C14orf39	SH2D4A	HIST1H3B
HEPH	PLRG1	LPPR3
RIMKLA	ARAF	RFX5
WDR45B	SEMA4C	HSP90AA1
ORAI3	IQCB1	RC3H1
FNDC3B	YTHDC2	HIATL1
ARF1	BRPF3	ARID1A
C11orf68	IBTK	IGSF21
PPM1B	SELO	M6PR
TMX2	CHST15	TNFRSF10B
ZFAND2B	WDR45	NADK
SERTAD2	UBR4	ZNFX1
ARL3	SEC22A	RACGAP1
NCEH1	ZSCAN21	CDC42EP4
RHBDF1	ZZEF1	GTF3A
TM4SF18	RPL11	CCDC71
OSBPL9	BRMS1	CCAR2
FAM72C	C1orf35	CTR9
XPNPEP1	GNE	NANS
RAD54L	ATG7	GPBP1L1
ZNF268	OGDHL	PFDN6
LRP3	PSMD11	HPDL
TUBB	LRCH3	NR2F6
GPR63	SNIP1	MRPL20
CD81	CTAGE5	NEU1
HLA-DRA	HHLA3	PVR
TMEM165	NDUFV2	DDA1
PVRL1	VCL	PSMD10
ANK2	AUNIP	CPNE3
ABHD10	WDR41	RPL23A
PPA1	LZTFL1	ZNF431
TMBIM1	LPIN1	CARS2
RALGAPA2	MRPS15	TCF20
PDPN	NECAP2	HELB
FOXO3	TNFRSF1A	KAL1
ERBB3	RCC2	PLAG1
MTIF3	IFT81	DNAJC15
ADCYAP1R1	TXNDC16	IGBP1
EXOSC7	FAM184A	CORO2A
TSPO	TMED7	MAGOHB
PSMB9	INPPL1	MED11
COA1	RANBP3	UNC13A
NOMO2	GATAD2B	NUMA1
BCL7C	PPP1CC	CCNC
NPHP3	UCHL3	SLC12A2
RHBDL3	PSMC1	WDR33
RNPEP	PLEKHB2	SLC25A33
CENPU	PLIN3	RDH13
FBXL3	POLR2C	TSPAN14
CCDC102A	THRAP3	ZNF616
CCM2	STAT5B	ZNF215
C12orf73	UNC13D	NOL10
USP2	ACADVL	GNA11
RBCK1	MTR	MRAS
PRPF3	DR1	MTR
GCHFR	SLC29A1	MAMDC2
POLI	ANKS1A	ACTC1
TMEM116	ATAD3A	ATP11A
IRX2	C16orf72	CNOT10
TMEM51	MAZ	PIK3CD
C9orf142	HEBP2	PRPS2
OFD1	CYTH3	LDLR
KLHL25	SHOC2	PCDHB2
PRKX	KIF11	PSME3
FKBP7	GPR153	RRM2B
CDKAL1	HEPH	CMBL
KCTD10	NDC80	CCNDBP1
GAS6	AMOTL2	WFS1
IFIT1	FBXO48	PAK1
MGA	ARHGEF10	COA1
ACP6	HAUS4	RUVBL1
GMPPA	TMEM206	C1orf74
GOLIM4	ECI1	CYB5R3
KIF21A	GOLGA3	RABIF
ERI1	DMAP1	CALN1
FANCA	WHSC1	NDUFA10
PRKAA2	ZNF534	NUDCD2
MBOAT2	MIEN1	TAB2
LONRF1	EIF5	CCDC43
CCDC51	SRSF6	RAD51AP1
REEP5	VAPB	CBWD3
C9orf37	COX4I1	PAPD7
PDK1	PRC1	TTC33
BPHL	YWHAG	EMC10
DDX24	EXTL3	TOMM34
ARHGAP22	IFI27L2	SSR2
ERG	TMEM30B	VWA9
TCN2	EPS8	SGK223
EOGT	ZNF562	CMPK1
ZFP36	SPRED1	NBEA
SLMAP	SPRY2	SKA3
DDX58	CNTRL	MAN2C1
ORC2	PPP4R1L	PDCD6IP
LRRCC1	P2RX4	STX3
CACHD1	TMEM133	RGS14
ZNF512B	NFIC	SMN2
CNPY4	TRAPPC8	ERC2
PRMT6	MGAT4C	YWHAZ
AP3M2	PHF20	ACTR3
FERMT1	PPP2R3C	GCFC2
FBXL5	CHRAC1	C1orf27
PBRM1	RND1	UTP6
UNK	NOLC1	ITGB1
SEMA5B	EIF2AK4	EAF2
TATDN1	TRIM46	TAF6
BRINP1	ISCA1	HIST1H3G
PHB	SDC4	TEAD4
CGRRF1	SPAG9	SMC2
ZNF85	CHTOP	LDOC1
FEZ1	NCAPG	EHD4
CCT4	ITGAV	CCAR1
TRA2A	ASL	BTF3L4
LCMT2	HIC2	RNF135
GNB4	AKAP8L	DISP1
CCDC104	GATAD1	TMEM128
DNM1	RPS27	ERI1
TRMT10A	EGLN2	GNG4
COL27A1	ZW10	ATP1B2
CACNA1H	ZBTB37	PLEKHH2
GINS1	MTPN	LBH
RNF11	RORA	PARP4
PREP	CLOCK	CKAP5
GSE1	RCAN2	PHLDB1
RAD21	IKBKAP	MMAB
HES6	ARHGEF9	EDEM3
TCF7L1	EIF3CL	INVS
RTN4IP1	EED	GINS3
ST8SIA3	SRP72	EXOC8
PRKACA	SURF6	AFF1
ACSS3	SLC7A3	EDC3
GLI2	GRN	TAOK1
C4orf29	FUT4	PEX19
S100PBP	LRRC40	PTRF
XRRA1	FHOD1	PHLDB2
TSPAN6	PKDCC	TOR3A
MPC2	CCNT1	KIAA1841
PARS2	ZNF165	VPS39
UQCRB	HIST1H4B	ZNF598
KLHL20	ZSCAN12	NEK7
EFHC1	ARIH1	GKAP1
CDT1	FAM155B	ATMIN
EIF3J	SEC61G	SIN3B
C1orf51	FPGS	DEDD2
ANXA4	CLDN10	SETD3
ACD	USP12	MORN4
COX14	TRIM4	NAGK
STOX2	DSN1	RPLP0
GLYATL1	SMUG1	DYNLT3
NAGK	ZNF511	MRPL27
ZMPSTE24	DEDD	NRP2
PDHX	CD109	TMEM132B
RP2	HDDC2	DUSP23
SOX13	MRPL9	GLUD2
SRCAP	LRRC41	MED25
ZNF74	EPT1	LPPR5
AKT1S1	EMB	FBXO7
TXNDC12	NETO2	CDK11A
MAN2C1	NAIF1	MED23
AATF	SNX2	ZNF574
HSP90AA1	DIAPH1	ANKS3
C10orf88	PLCB2	INTS6
CSNK1E	ALG6	ST3GAL2
NFKBIB	HLA-DRA	STK16
MRS2	DRG1	ABHD2
SENP6	SBDS	SEPSECS
VGF	PRPF4B	BUD13
ADM	NIPA2	EXOSC8
FUT10	PLEKHB1	KRIT1
SRC	PPP1R14A	CASC4
RMND1	PFKM	ZNF274
PSMB7	PAK3	PTPRD
SESN1	CENPF	TMEM92
CDK5RAP2	MTERFD1	PRAF2
FGFR4	SPOCK1	ZNF57
MBD5	ACIN1	TVP23B
TMEM200A	TMTC1	SERP1
CENPF	MZT1	ZNF346
FOXRED1	CCT4	RMND5B
JOSD1	PRKAG1	C6orf47
TRIM21	SESN2	GMEB2
ANKRD29	WDR74	TSPAN6
USP15	NFS1	FCHO2
GORASP2	CTSL	PRSS8
MCMBP	SYDE2	ARRDC3
PSMC2	UTP18	CACHD1
C12orf49	CDK5	RNF26
TRIP13	LCK	EIF3A
SCUBE1	VASN	RIPK1
PPIL3	MCEE	FHOD1
SUPT6H	CLCN7	TEX30
RTCB	FANCE	SNX25
ORMDL2	CDK19	POTEI
IFT43	PPP1R7	ZNF331
HIC2	ARHGEF35	FKBP4
IRF6	PIFO	COX20
PPP1CB	ZNF530	WBP2
ZNF770	SPG11	CDC25A
GPATCH4	NOMO1	RNASEH1
FUT4	PABPC3	VRK1
PRKCB	USE1	GALK1
RAB5B	DDTL	DCAF17
GANAB	SSR3	GGA3
VASH1	DHPS	FDX1
DNAJC19	MLLT4	LRRC6
LRRC57	ECSCR	AP5M1
KIAA1715	NOSIP	NDUFAF1
PHF2	HERC4	BANF1
ANKRD18B	TBC1D9B	RBX1
LSM14A	UCP2	FBXO33
SLC30A6	FLNA	MVB12A
SMAP1	EMC10	NPHP4
HELZ	LEPROT	RFC4
WDR12	YIPF1	GAA
FAM107B	ANKRD30BL	RSRC2
ANXA11	SORL1	COL9A3
APH1A	WAPAL	PRKAB2
GALNT3	MCM6	TMEM120B
NCOA3	AFTPH	UBL3
RBPJ	VPS28	BAHD1
HMGN3	CENPM	CITED2
ZNF594	IRF2BPL	SEPHS1
GCAT	SOS1	INPP5K
ZNF516	CPSF4	TUFT1
BCAN	ITGA1	ZNF569
SGSM3	LTA4H	LCLAT1
B4GALNT4	HINT1	TLCD1
PRR14L	TBRG4	WBP1L
HSD17B1	LRPPRC	IWS1
ZFYVE1	GSTCD	NYNRIN
FBXO42	ERC1	CYB5A
CELF5	DNAJC10	FAM171A1
ARHGEF40	PDE6B	MFN2
GSTCD	NCL	TMEM125
SLC6A15	SLC26A2	AGO3
COPS7A	SRRM3	MIEF1
CSGALNACT2	CDC34	BMPR1A
TMEM245	LIN28A	ZNF211
FBXL4	CHCHD6	TM9SF3
POTEJ	SLFN5	THOC5
HINT1	C1orf86	UBA6
RBAK-RBAKDN	VARS	CCDC66
SCUBE3	HSPH1	SERF1A
STX7	C9orf156	PIFO
CCDC94	SGK223	FAM168B
ORAI2	FAM45A	TCTN1
ESRP2	ZNF747	ST7L
TIMELESS	CENPB	SURF4
FAM83H	POLE4	TACC3
NSUN5	GREB1	TRAF3IP1
STK11IP	MTRNR2L2	MAN2B2
HADHB	BRIP1	SEC23IP
TOP2B	CEP104	CPT2
ABR	PTPMT1	HDAC4
MYH9	HMGN4	RCE1
FBXO11	ALDH6A1	SPEN
GAREM	HELZ	PGAP2
NPIPA7	DPPA3	ITCH
DDX10	MRPS16	BECN1
EMC2	ZBTB10	ACSF3
ZBED4	SYT6	ANO5
HENMT1	GPR180	FAM96A
LRP5	UBLCP1	C19orf52
ZMAT5	OCLN	CDC42SE2
TAF11	MYC	UPF2
TMEM63B	RAB8B	GDF3
PPP6R2	PITRM1	MPHOSPH6
UNC5D	UBTD2	ZNF764
GULP1	THOC2	PSPH
NRXN3	PDE12	MTRF1
TRIM56	TMEM55B	TMSB4X
C1orf115	ZNF629	ZNF608
LDB2	ZBED5	MITD1
CTDSP1	GOLGB1	CXorf40A
CACNB1	AURKA	GTF3C6
PCTP	NAA35	TIMM9
FBXO44	RPL13A	ZMYND11
CBLB	SCUBE3	MEX3B
WDR62	PSMD4	METTL8
TNKS2	TENM4	NEK2
SGOL1	ST3GAL4	TMEM203
HDAC3	SSNA1	USP5
TRIP12	ST3GAL2	PAK1IP1
AKIRIN1	MED11	MTHFD1L
ZNF440	SLC27A2	KDELR2
AGBL5	DIP2A	FTSJ2
MECP2	TMED8	SUCO
SPRY4	GNAZ	ZSCAN18
UBE2J1	SMIM20	GLRX5
PPL	RPP40	TBC1D10B
MRPS12	STK38	GUCD1
STAU1	GDI1	RNF122
RP1-241P17.4	GID4	TACC2
CLK4	PRKX	DSTN
ADI1	TJP1	AC010642.1
JAG1	CNDP2	GNPTAB
KIAA1524	ALS2	POLR2L
SRGAP1	CRK	KIF13B
ITPR1	PIANP	MRPL12
CHRDL1	CENPO	GM2A
LRRC42	CCZ1	STC1
ZZEF1	RNF38	ASAH2B
TLDC1	SEMA7A	ZNF425
CCND1	NMB	TMEM248
ZNF267	TTC8	SH3RF1
IER5	PARD6G	PLA2G16
RAD54B	GAP43	PAPOLA
DAZAP2	PDDC1	PFDN5
E2F8	CRYM	CDC14A
P4HA1	RASA1	FAM124A
XPNPEP3	MORF4L2	WDR20
ZFP36L1	ASS1	DDX39A
RRS1	TEX15	PPM1N
ARMC1	C20orf196	KDM6A
NMRK2	BTBD17	ZNF814
IDE	HOMER1	FYTTD1
FRMD6	MAP2K4	PRDX3
MFAP1	HMGB2	HDAC7
HMGXB4	C22orf46	DLEU1
GLTSCR1L	TESC	ZNF37A
WDR73	HIST1H2BC	INF2
NUDCD2	ADCY3	NDUFB8
CEP164	RPL5	GCHFR
TOX	SAMD1	DDIT3
TMEM39B	USP14	CACNG8
ACOXL	XPC	FBXO18
ACYP1	CWF19L1	UTP15
SS18L1	ASAH1	ADCK3
RPP25L	GADD45GIP1	MYPOP
MED25	PIK3CA	AAMP
TRIM27	CCDC88C	AXIN2
CBX1	FAM149B1	IFT74
ITGA2	COMMD9	ETNK1
REXO2	RUFY3	PEG10
SMIM7	SLC25A3	TSPYL1
TMEM150A	ASPHD1	VPS37C
LANCL1	ZNF385A	HMGN4
LECT1	RBM6	RAD51D
GAREML	FXR1	TINF2
NHP2L1	EIF4EBP3	MBNL2
SMARCAD1	SDHAF1	STK11IP
AARS2	NOTCH1	SESN1
JPH4	EEF2K	GLRX3
FOXO1	JUND	SLC25A26
MFSD2A	CENPC	SLC2A6
MRPS31	PRKD3	DYM
FNBP4	RPL17	PCYT1B
C15orf40	PACRGL	ZNF579
LGALSL	RB1CC1	ARG2
KIF22	INTS5	DLL3
TNMD	TSTD2	KRR1
USP54	GGA3	DCAF10
EXOG	NANP	HDGFRP2
ARHGEF18	MRPL21	REEP2
PCNXL4	TMX1	FGFBP3
RPL4	UBAP1	WASF2
MFN1	INTS4	XPR1
OMA1	RNF121	CD40
PNKP	SPA17	MYO5B
LLGL2	DCUN1D5	HIBCH
SAV1	SMURF2	TBRG4
TRAPPC13	CUL5	SLC7A1
FDX1	CDC42	NDUFV2
ARPC2	GMPPA	SLC29A1
SLC20A1	WDR35	KCMF1
TMSB15B	CIZ1	MKRN1
CYB5R1	RPIA	WDR77
SLC5A6	ZNF484	NLN
KATNA1	JPH1	MARVELD3
MACROD1	TP53	RPL26
DGCR8	C18orf54	CSTB
ARID2	PHTF2	TMEM63B
C18orf21	HARS2	ANGEL1
CHST12	STAU2	BLMH
CTNNB1	ZFYVE16	IQCK
PGBD5	SYNJ2BP	RBM17
ZNF254	PPIL1	CLPP
EFNA4	FREM2	RABAC1
LSG1	SH3GLB2	TYMS
INTS6	WDR75	KCNMB4
PRTFDC1	TRIM37	SHROOM2
NEK8	THOP1	GOSR2
RHBDF2	BCS1L	SLC41A3
HIGD2A	ADH5	RBPJ
L2HGDH	PAFAH1B1	SCRN1
PPOX	FAM217B	SLC35A4
PSMC5	TMEM59	LPCAT4
BET1L	TCF3	CSRP1
PIGU	GNL1	RAB11FIP4
NAMPTL	ART5	FANCI
MTG1	GNA12	PIGG
HIPK3	TMEM248	NUP153
HPS5	CXorf23	ATL1
RBMX	EFNA4	FAM58A
HNRNPH3	KCNK1	MCM10
C2orf44	F11R	SOX2
NOL12	YES1	RHBDL3
HDDC3	WHSC1L1	ARL17B
IFNAR1	GLG1	TCEAL2
CTNS	MBTD1	NVL
OPTC	POMT2	PPIL3
DDAH2	ABCG1	FHL2
CEP55	UNC13A	HDAC8
PARP2	AP3S1	C19orf60
ZKSCAN1	IRAK1BP1	SETD9
RNFT2	RFWD3	ZNF280B
SCML1	RCN1	CD2AP
RHOT2	SAP30BP	DLGAP5
DIRC2	ATXN7	ICOSLG
CDIP1	KTN1	ACADSB
FLYWCH1	RPS6	MXRA8
MED6	GYPC	NGRN
CHIC1	HIST1H4K	ALG2
SNRPD3	TRIM61	PRMT3
TMEM246	ARFGEF2	TPX2
ARL16	ERV3-1	NMI
SEPT3	WIPF2	AURKB
ETFB	SULT4A1	CEP120
PBX2	C8orf76	GSTM2
UBA6	NXT2	GALNT3
GYG1	ABI1	C2orf69
TRIP6	SMIM12	SNX4
FUS	MTRNR2L12	E2F8
GART	ST6GAL1	CHD2
MRPL27	WDR36	COX10
ASNA1	EXOSC9	CSTF1
UBA5	NCOA7	IKZF4
HIST1H3I	TULP4	SESTD1
GUK1	IKBKB	CALB1
ATP2B1	FLAD1	PDGFRB
SMAP2	ZNF749	FST
NABP2	ZRANB1	MPZL1
CPT1A	ASH1L	TMBIM4
DGCR2	DOCK9	PIGT
ARFRP1	ZNF816	POLR2C
CENPK	C9orf142	MAGEF1
SETD3	EXOC7	SPRY4
HMGA1	POLQ	IFT43
ACER3	ALDH16A1	PDGFD
DNAJC21	EIF4H	GNAL
WWC2	ZC3H11A	MIS18BP1
ABL2	UGDH	SOX13
VEZT	PTGR2	ZNF766
OGT	DHX35	GPC3
PPM1G	CRMP1	ANKRD13C
DLG4	YLPM1	MFSD5
NDUFA5	RGMB	TSNAX
