NA19098	NA19101	NA19239
ZFHX2	DDX26B	MT-ND3
APP	PDLIM5	NLK
ERCC1	JMJD4	FAM13B
SGK3	DCP1B	TLE4
CD2BP2	SSH2	NF1
C16orf89	DCAKD	HMG20B
PDE4DIP	SNRNP70	C11orf30
ANGPTL2	COX7A2L	ACADM
PSMD12	ANKRA2	RNF181
RIC3	SLTM	PDP2
LUZP1	AIMP1	BCS1L
TACR3	ZNF512	SPAG7
CAMTA1	WRN	SIVA1
PPM1H	ALDH1B1	LANCL2
RGS14	TMEM68	NENF
RASGEF1A	STK25	NDUFA2
GPRASP2	TAB3	VPS72
ABCE1	EXOSC5	HPRT1
RBM33	AARS2	KLF12
OXLD1	HPS3	DRG2
KBTBD4	MLK4	CDK1
GLB1L3	ZNF14	ENOPH1
HLA-DPB1	INSIG1	INPP5F
NRG4	TMEM177	FXYD5
RC3H2	FAM179B	TAB1
RAB5C	CACNB4	COX11
MTF1	TMEM9B	UXT
NFKBIE	SIGIRR	PLRG1
SEC24B	SOX13	EGFL7
SRSF4	DUSP1	PTOV1
TYW5	TUBA1A	SMURF1
PRKAR1B	NELL2	TPCN1
VDAC2	NIF3L1	ANKRD17
WDR75	FAM210A	TMED3
TBC1D16	SNAPIN	PLAT
CD109	NUDT2	HMGCS1
SH3PXD2B	IGSF8	BIRC5
SIT1	HAUS7	FAM213B
RABEP1	MIDN	ZBTB5
CYCS	TOMM40L	GALNT2
HIST1H4J	RCBTB2	FBXL4
PRUNE	IQGAP1	ANAPC11
SHARPIN	MIPEP	SLC13A3
PLEKHO2	MTPAP	SUMO2
NICN1	WAC	STK36
WDR91	HIST2H4A	CSDE1
PCBP4	HELQ	FOXK1
ZNF142	NASP	TOB2
IPO11	PLEKHG2	HIST1H4J
C4orf27	KLHL2	RPL38
C10orf118	PRUNE2	GLI2
SNX30	PPIAL4G	SELT
RNFT1	MANBAL	NUF2
RASAL2	ZNF419	ANKRD18A
VAMP4	TLE2	ATF7IP
CCT6A	ARMC9	NDUFB9
TRIM45	SEMA4A	ARSB
LINGO1	MFAP2	ZSCAN5A
CPSF4	COX5A	UBE2B
RNF6	HADHB	HEATR1
GPATCH8	CAMSAP1	VPS33A
ZMYND11	OSBPL8	COMMD4
PARPBP	COL4A5	PPP4R1L
AUNIP	RPL22	PPP1R15B
GDAP2	PLEKHA4	SMURF2
TMA7	CCDC34	EFNB2
RPS10	ATP5B	C21orf59
POLR2B	NOA1	DERL2
NELFE	ECE2	PRX
ZSWIM6	RNF10	GPR125
TMSB4Y	PLEKHA3	LRRC41
STX6	PET100	STOM
YY1AP1	FGFR4	SPATA13
SRPK1	SLFN12	OCIAD1
SAC3D1	HEATR2	STMN3
ARF4	BOLA2B	KIFC1
NCAM1	BTRC	MRPS6
TTPAL	MARVELD1	HNRNPLL
MRAS	TAF3	RRP7A
TXNIP	SLC22A23	PCYT1A
SMIM12	FAM104B	TSG101
PLCB3	TTC32	PTP4A2
JMY	WNK1	POLB
SLC18A2	CSNK1D	ZNF165
CIRBP	RPEL1	SRSF7
CNKSR1	HIST2H2BE	VDAC3
HIST1H2BL	NPIPB5	COPS7A
LMLN	MYOZ3	PRKCD
ZNF174	CCHCR1	TPD52
OGFR	TOM1	NIPA2
DIS3L2	RASSF8	ABCC5
UBE3D	NABP1	AHCYL2
JADE2	NEDD8	AP4M1
MRPL48	FOS	KPNA6
C11orf49	TCEAL2	FLAD1
U2AF1	LIMD1	WSB1
